env,env_label,method,seed,random_repeat,goal_offset,eval_budget,num_tasks,success_rate,distance_to_goal,eval_task_seed,policy_seed,elapsed_seconds,status,result_dir,metrics_path,final_training_run
reacher,Reacher,inverse,0,,85,170,100,83.0,nan,63029,73029,966.4930448532104,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/inverse/offset_85,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/inverse/offset_85/metrics.json,reacher_inverse_lambda_1_seed0
reacher,Reacher,sigreg,0,,85,170,100,88.0,nan,63029,73029,976.5373594760895,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/sigreg/offset_85,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/sigreg/offset_85/metrics.json,reacher_sigreg_seed0
reacher,Reacher,random,,0,85,170,100,14.000000000000002,nan,63029,73029,93.8027856349945,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/random/offset_85,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/random/offset_85/metrics.json,
reacher,Reacher,forward_only,0,,100,200,100,10.0,nan,63030,73030,1105.9785454273224,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/forward_only/offset_100,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/forward_only/offset_100/metrics.json,reacher_forward_only_seed0
reacher,Reacher,inverse,0,,100,200,100,79.0,nan,63030,73030,1079.9738070964813,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/inverse/offset_100,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/inverse/offset_100/metrics.json,reacher_inverse_lambda_1_seed0
reacher,Reacher,sigreg,0,,100,200,100,87.0,nan,63030,73030,1090.2205138206482,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/sigreg/offset_100,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/sigreg/offset_100/metrics.json,reacher_sigreg_seed0
reacher,Reacher,random,,0,100,200,100,12.0,nan,63030,73030,109.09767079353333,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/random/offset_100,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/reacher/random/offset_100/metrics.json,
pusht,Push-T,forward_only,0,,25,50,100,0.0,nan,64025,74025,259.733101606369,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/forward_only/offset_25,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/forward_only/offset_25/metrics.json,pusht_forward_only_seed0
pusht,Push-T,inverse,0,,25,50,100,87.0,nan,64025,74025,260.3329064846039,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/inverse/offset_25,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/inverse/offset_25/metrics.json,pusht_inverse_lambda_30_seed0
pusht,Push-T,sigreg,0,,25,50,100,94.0,nan,64025,74025,266.0489192008972,ok,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/sigreg/offset_25,/lustre/home/pivashkov/projects/latent-world-models/experiments/horizon_sweep/results/pusht/sigreg/offset_25/metrics.json,pusht_sigreg_seed0
